Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP,Label
0.6,0,0,0,0,0.4,0,1,0,0,0.000512,5.12E-05,6.00E-06,0.000102,3.32E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.002887,0.0002887,2.00E-06,0.002425,0.000793139,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000444,4.44E-05,2.00E-06,0.000147,5.02E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000576,5.76E-05,4.00E-06,0.00027,7.92E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.003237,0.0003237,2.00E-06,0.002803,0.000917255,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.000579,5.79E-05,3.00E-06,0.000164,5.41E-05,60,60,60,0,1,4,2,6,2.108185107,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000412,4.12E-05,2.00E-06,0.000199,6.10E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.000627,6.27E-05,4.00E-06,0.000211,6.56E-05,60,60,60,0,1,4,2,6,2.108185107,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000574,5.74E-05,6.00E-06,0.000191,5.96E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000637,6.37E-05,1.00E-06,0.000233,8.09E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.003618,0.0003618,2.00E-06,0.003071,0.001002455,60,60,60,0,1,4,2,6,2.108185107,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.001356,0.0001356,5.00E-06,0.000792,0.000253154,60,60,60,0,1,4,2,6,2.108185107,0,1
0.9,0,0,0,0,0.1,0,1,0,0,0.000269,2.69E-05,2.70E-05,3.50E-05,2.37E-06,60,60,60,0,1,2.4,2,6,1.264911064,0,1
0,0,0,0,0,1,0,1,0,0,0.000081,8.10E-06,1.00E-06,5.90E-05,1.89E-05,60,60,60,0,1,6,6,6,0,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000542,5.42E-05,6.00E-06,0.000204,5.94E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.7,0,0,0,0,0.3,0,1,0,0,0.000267,2.67E-05,3.00E-06,7.50E-05,2.15E-05,60,60,60,0,1,3.2,2,6,1.932183566,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000501,5.01E-05,1.00E-06,0.000286,8.98E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.000703,7.03E-05,5.00E-06,0.000469,0.00014824,60,60,60,0,1,4,2,6,2.108185107,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000619,6.19E-05,4.00E-06,0.000225,7.56E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.000512,5.12E-05,3.00E-06,0.000197,5.94E-05,60,60,60,0,1,4,2,6,2.108185107,0,1
0.8,0,0,0,0,0.2,0,1,0,0,0.003655,0.0003655,2.40E-05,0.002482,0.000830227,60,60,60,0,1,2.8,2,6,1.686548085,0,1
1,0,0,0,0,0,0,1,0,0,0.000396,3.96E-05,2.80E-05,6.70E-05,1.25E-05,60,60,60,0,1,2,2,2,0,0,1
0.2,0,0,0,0,0.8,0,1,0,0,0.000094,9.40E-06,2.00E-06,4.40E-05,1.45E-05,60,60,60,0,1,5.2,2,6,1.686548085,0,1
0,0,0,0,0,1,0,1,0,0,0.000029,2.90E-06,1.00E-06,1.50E-05,4.47E-06,60,60,60,0,1,6,6,6,0,0,1
0.8,0,0,0,0,0.2,0,1,0,0,0.000478,4.78E-05,1.00E-06,0.000239,7.09E-05,60,60,60,0,1,2.8,2,6,1.686548085,0,1
0.2,0,0,0,0,0.8,0,1,0,0,0.00031,3.10E-05,1.00E-06,0.000191,6.27E-05,60,60,60,0,1,5.2,2,6,1.686548085,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000289,2.89E-05,1.00E-06,0.000161,5.01E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.9,0,0,0,0,0.1,0,1,0,0,0.000285,2.85E-05,2.30E-05,5.10E-05,8.97E-06,60,60,60,0,1,2.4,2,6,1.264911064,0,1
0.2,0,0,0,0,0.8,0,1,0,0,0.000361,3.61E-05,1.00E-06,0.000203,7.00E-05,60,60,60,0,1,5.2,2,6,1.686548085,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000179,1.79E-05,1.00E-06,5.50E-05,1.86E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.9,0,0,0,0,0.1,0,1,0,0,0.00371,0.000371,4.50E-05,0.00217,0.000735134,60,60,60,0,1,2.4,2,6,1.264911064,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000232,2.32E-05,3.00E-06,5.60E-05,1.79E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0,0,0,0,0,1,0,1,0,0,0.001198,0.0001198,1.00E-06,0.001073,0.000353943,60,60,60,0,1,6,6,6,0,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.000616,6.16E-05,6.00E-06,0.000253,7.61E-05,60,60,60,0,1,4,2,6,2.108185107,0,1
1,0,0,0,0,0,0,1,0,0,0.00064,6.40E-05,3.20E-05,0.000304,8.76E-05,60,60,60,0,1,2,2,2,0,0,1
0,0,0,0,0,1,0,1,0,0,0.000115,1.15E-05,1.00E-06,9.50E-05,3.09E-05,60,60,60,0,1,6,6,6,0,0,1
1,0,0,0,0,0,0,1,0,0,0.000432,4.32E-05,2.60E-05,9.90E-05,2.28E-05,60,60,60,0,1,2,2,2,0,0,1
1,0,0,0,0,0,0,1,0,0,0.000576,5.76E-05,3.50E-05,0.000106,2.74E-05,60,60,60,0,1,2,2,2,0,0,1
0,0,0,0,0,1,0,1,0,0,0.000034,3.40E-06,2.00E-06,8.00E-06,1.92E-06,60,60,60,0,1,6,6,6,0,0,1
0.1,0,0,0,0,0.9,0,1,0,0,0.000095,9.50E-06,2.00E-06,4.30E-05,1.32E-05,60,60,60,0,1,5.6,2,6,1.264911064,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.005329,0.0005329,1.00E-05,0.003337,0.001147774,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000557,5.57E-05,6.00E-06,0.000291,8.75E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.3,0,0,0,0,0.7,0,1,0,0,0.000393,3.93E-05,2.00E-06,0.000142,4.81E-05,60,60,60,0,1,4.8,2,6,1.932183566,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.000598,5.98E-05,5.00E-06,0.000281,8.54E-05,60,60,60,0,1,4,2,6,2.108185107,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.00054,5.40E-05,4.00E-06,0.000236,7.46E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000619,6.19E-05,2.00E-06,0.000297,0.000109093,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000721,7.21E-05,1.00E-06,0.000305,0.000113483,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000747,7.47E-05,1.00E-06,0.000347,0.000130632,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000525,5.25E-05,2.00E-06,0.000216,8.54E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000617,6.17E-05,1.00E-06,0.000253,0.000102771,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.8,0,0,0,0,0.2,0,1,0,0,0.003324,0.0003324,9.00E-06,0.002965,0.000973753,60,60,60,0,1,2.8,2,6,1.686548085,0,1
0.2,0,0,0,0,0.8,0,1,0,0,0.00035,3.50E-05,1.00E-06,0.000189,6.48E-05,60,60,60,0,1,5.2,2,6,1.686548085,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000493,4.93E-05,5.00E-06,0.000166,5.03E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000518,5.18E-05,3.00E-06,0.000283,8.74E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000606,6.06E-05,3.00E-06,0.000354,0.000111755,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000445,4.45E-05,2.00E-06,0.000234,7.41E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000264,2.64E-05,1.00E-06,9.00E-05,3.14E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.00041,4.10E-05,7.00E-06,0.000103,2.96E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000417,4.17E-05,2.00E-06,0.000227,6.91E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000523,5.23E-05,5.00E-06,0.000201,7.34E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.8,0,0,0,0,0.2,0,1,0,0,0.002919,0.0002919,1.00E-06,0.002641,0.000868907,60,60,60,0,1,2.8,2,6,1.686548085,0,1
0.2,0,0,0,0,0.8,0,1,0,0,0.000276,2.76E-05,2.00E-06,0.000139,5.00E-05,60,60,60,0,1,5.2,2,6,1.686548085,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.000234,2.34E-05,1.00E-06,5.80E-05,2.19E-05,60,60,60,0,1,4,2,6,2.108185107,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.000242,2.42E-05,2.00E-06,0.000125,3.87E-05,60,60,60,0,1,4,2,6,2.108185107,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000348,3.48E-05,4.00E-06,0.000164,4.87E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000426,4.26E-05,2.00E-06,0.000153,5.37E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000496,4.96E-05,3.00E-06,0.00014,5.38E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000252,2.52E-05,2.00E-06,5.70E-05,2.04E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000381,3.81E-05,4.00E-06,0.000142,4.71E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000607,6.07E-05,2.00E-06,0.000428,0.000136583,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.7,0,0,0,0,0.3,0,1,0,0,0.002909,0.0002909,4.00E-06,0.002633,0.000866305,60,60,60,0,1,3.2,2,6,1.932183566,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.000292,2.92E-05,2.00E-06,0.000109,3.49E-05,60,60,60,0,1,4,2,6,2.108185107,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000305,3.05E-05,1.00E-06,0.000174,5.49E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000398,3.98E-05,1.00E-06,0.000155,5.57E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000275,2.75E-05,2.00E-06,0.000153,4.77E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000416,4.16E-05,3.00E-06,0.000188,5.62E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000666,6.66E-05,2.00E-06,0.000319,0.000118426,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000362,3.62E-05,1.00E-06,0.000113,4.79E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000208,2.08E-05,1.00E-06,6.40E-05,2.25E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000349,3.49E-05,1.00E-06,0.000215,6.70E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.8,0,0,0,0,0.2,0,1,0,0,0.002764,0.0002764,2.00E-06,0.002493,0.000819919,60,60,60,0,1,2.8,2,6,1.686548085,0,1
0.2,0,0,0,0,0.8,0,1,0,0,0.000377,3.77E-05,4.00E-06,0.000163,5.14E-05,60,60,60,0,1,5.2,2,6,1.686548085,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000239,2.39E-05,1.00E-06,0.00012,3.73E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000486,4.86E-05,2.00E-06,0.000243,7.73E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000419,4.19E-05,4.00E-06,0.000152,4.95E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000833,8.33E-05,2.00E-06,0.000316,0.000117737,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000302,3.02E-05,2.00E-06,0.000146,4.78E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000385,3.85E-05,4.00E-06,0.000135,3.88E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000505,5.05E-05,6.00E-06,0.000213,6.26E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000471,4.71E-05,1.00E-06,0.000238,7.79E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.8,0,0,0,0,0.2,0,1,0,0,0.003203,0.0003203,3.00E-06,0.002867,0.000941861,60,60,60,0,1,2.8,2,6,1.686548085,0,1
0.2,0,0,0,0,0.8,0,1,0,0,0.000108,1.08E-05,2.00E-06,4.80E-05,1.61E-05,60,60,60,0,1,5.2,2,6,1.686548085,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000491,4.91E-05,2.00E-06,0.000236,7.06E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000592,5.92E-05,3.00E-06,0.000234,8.50E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.00034,3.40E-05,2.00E-06,0.000205,6.47E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000505,5.05E-05,5.00E-06,0.000279,8.66E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.00013,1.30E-05,1.00E-06,3.80E-05,1.55E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000394,3.94E-05,2.00E-06,0.000186,5.64E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.2,0,0,0,0,0.8,0,1,0,0,0.000178,1.78E-05,1.00E-06,5.70E-05,2.29E-05,60,60,60,0,1,5.2,2,6,1.686548085,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000291,2.91E-05,4.00E-06,7.30E-05,2.30E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.002713,0.0002713,3.00E-06,0.002345,0.000767436,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000484,4.84E-05,3.00E-06,0.000205,6.36E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.002529,0.0002529,2.00E-06,0.002362,0.000780638,60,60,60,0,1,4.4,2,6,2.065591118,0,1
1,0,0,0,0,0,0,1,0,0,0.0003,3.00E-05,1.90E-05,5.70E-05,1.39E-05,60,60,60,0,1,2,2,2,0,0,1
1,0,0,0,0,0,0,1,0,0,0.000231,2.31E-05,1.80E-05,3.60E-05,7.48E-06,60,60,60,0,1,2,2,2,0,0,1
1,0,0,0,0,0,0,1,0,0,0.000239,2.39E-05,1.80E-05,4.30E-05,9.54E-06,60,60,60,0,1,2,2,2,0,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000134,1.34E-05,2.00E-06,2.90E-05,1.08E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0,0,0,0,0,1,0,1,0,0,0.000016,1.60E-06,1.00E-06,3.00E-06,6.67E-07,60,60,60,0,1,6,6,6,0,0,1
0,0,0,0,0,1,0,1,0,0,0.000039,3.90E-06,1.00E-06,2.50E-05,7.76E-06,60,60,60,0,1,6,6,6,0,0,1
0,0,0,0,0,1,0,1,0,0,0.000014,1.40E-06,1.00E-06,2.00E-06,5.27E-07,60,60,60,0,1,6,6,6,0,0,1
0.8,0,0,0,0,0.2,0,1,0,0,0.003478,0.0003478,1.00E-06,0.003271,0.001081774,60,60,60,0,1,2.8,2,6,1.686548085,0,1
0.2,0,0,0,0,0.8,0,1,0,0,0.000308,3.08E-05,1.00E-06,0.000205,6.77E-05,60,60,60,0,1,5.2,2,6,1.686548085,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000341,3.41E-05,1.00E-06,0.000183,5.68E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000337,3.37E-05,1.00E-06,0.000185,5.71E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000274,2.74E-05,2.00E-06,0.000124,3.65E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000308,3.08E-05,4.00E-06,0.000135,4.03E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000345,3.45E-05,3.00E-06,0.000136,4.16E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000885,8.85E-05,1.00E-06,0.000728,0.000236808,60,60,60,0,1,4.4,2,6,2.065591118,0,1
1,0,0,0,0,0,0,1,0,0,0.000305,3.05E-05,2.30E-05,3.90E-05,5.28E-06,60,60,60,0,1,2,2,2,0,0,1
0,0,0,0,0,1,0,1,0,0,0.000256,2.56E-05,1.00E-06,0.000155,5.06E-05,60,60,60,0,1,6,6,6,0,0,1
0.5,0,0,0,0,0.5,0,1,0,0,1.00396,0.100396,2.00E-06,1.003632,0.334530336,60,60,60,0,1,4,2,6,2.108185107,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000666,6.66E-05,3.00E-05,0.000186,6.23E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000448,4.48E-05,2.00E-06,0.000178,5.35E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.3,0,0,0,0,0.7,0,1,0,0,0.000301,3.01E-05,1.00E-06,0.000135,4.26E-05,60,60,60,0,1,4.8,2,6,1.932183566,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.000529,5.29E-05,3.00E-06,0.000154,5.81E-05,60,60,60,0,1,4,2,6,2.108185107,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000532,5.32E-05,2.00E-06,0.000152,5.77E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.00077,7.70E-05,9.00E-06,0.000183,6.35E-05,60,60,60,0,1,4,2,6,2.108185107,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000529,5.29E-05,2.00E-06,0.000156,6.01E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000546,5.46E-05,6.00E-06,0.000151,4.88E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.00063,6.30E-05,5.00E-06,0.000185,6.15E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.002796,0.0002796,2.00E-06,0.002398,0.000785013,60,60,60,0,1,4,2,6,2.108185107,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.000556,5.56E-05,2.00E-06,0.000151,4.74E-05,60,60,60,0,1,4,2,6,2.108185107,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.000568,5.68E-05,2.00E-06,0.000158,6.20E-05,60,60,60,0,1,4,2,6,2.108185107,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.000405,4.05E-05,4.00E-06,0.000124,3.87E-05,60,60,60,0,1,4,2,6,2.108185107,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000555,5.55E-05,2.00E-06,0.000152,6.09E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000513,5.13E-05,2.00E-06,0.000165,6.83E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.002875,0.0002875,5.00E-06,0.002395,0.000781628,60,60,60,0,1,4,2,6,2.108185107,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000641,6.41E-05,3.30E-05,0.000186,5.08E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
0.4,0,0,0,0,0.6,0,1,0,0,0.000592,5.92E-05,4.00E-06,0.000173,5.59E-05,60,60,60,0,1,4.4,2,6,2.065591118,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.00047,4.70E-05,3.00E-06,0.000142,4.44E-05,60,60,60,0,1,4,2,6,2.108185107,0,1
0.5,0,0,0,0,0.5,0,1,0,0,0.000487,4.87E-05,4.00E-06,0.000185,5.30E-05,60,60,60,0,1,4,2,6,2.108185107,0,1
0.6,0,0,0,0,0.4,0,1,0,0,0.000844,8.44E-05,3.00E-06,0.000256,7.67E-05,60,60,60,0,1,3.6,2,6,2.065591118,0,1
